NXDOMAIN DATA

tappss.emart.com                                  mvno.emart.gtmc.hscdn.com.                        lookup mvno.emart.gtmc.hscdn.com.: no such host
dcscdn-allice.skplanet.com                        skp-dcs-allice.swacc.skcdn.com.                   110.45.211.27
intra.istarbucks.co.kr                            intra.istarbucks.co.kr.                           182.173.169.11
jise.kr                                           jise.kr.                                          211.210.30.142
dev-cdn-cj.speedycat.kr                           cj-speedycat.wacc.skcdn.com.                      118.219.57.208
dev-2-cdn-cj.speedycat.kr                         cj-speedycat.wacc.skcdn.com.                      118.219.57.208
dev-2-vod-cj.speedycat.kr                         cj-speedycat.wacc.skcdn.com.                      118.219.57.208
m.academy.istarbucks.co.kr                        m.academy.istarbucks.co.kr.                       202.3.20.89
img.cjthekitchen.com                              cj-thekitchen.wacc.skcdn.com.                     110.45.211.27
cdn.reebonzkorea.co.kr                            reebonzkorea.wacc.skcdn.com.                      222.239.240.19
images.millie.co.kr                               d31s8oug865ekz.cloudfront.net.                    13.249.210.116
tcuimg.emart.com                                  emart.swacc.skcdn.com.                            110.10.122.72
tssimg.emart.com                                  emart.swacc.skcdn.com.                            110.10.122.72
stimg.emart.com                                   emart.swacc.skcdn.com.                            110.10.122.72
jbjse.kr                                          jbjse.kr.                                         211.210.30.141
photo.jtbc.joins.com                              jtbc.wacc.skcdn.com.                              222.239.21.161
blog.istarbucks.co.kr                             blog.istarbucks.co.kr.                            182.173.169.11
jungin.kr                                         jungin.kr.                                        211.210.30.141
jbjje.kr                                          jbjje.kr.                                         211.210.30.142
static.istarbucks.co.kr                           static.istarbucks.co.kr.                          182.173.169.11
res.ageofring.pupugame.kr                         res.ageofring-enpgames.dlacc.skcdn.com.           211.110.63.100
webservice.shinsegae.com                          webservice.shinsegae.com.                         112.171.14.21
tabservice.shinsegae.com                          tabservice.shinsegae.com.                         112.171.14.21
autodiscover.shinsegae.com                        autodiscover.shinsegae.com.                       202.3.23.181
vod.midas-i.com                                   vod-mezzomedia.lgucdn.com.                        211.237.6.150
vod-englishgem.cjenm.skcdn.com                    live-englishgem.cjenm.skcdn.com.                  222.239.21.69
img.wconcept.co.kr                                img.wconcept.co.kr.                               210.116.100.175
test.istarbucks.co.kr                             test.istarbucks.co.kr.                            182.173.169.11
mepdev.istarbucks.co.kr                           mepdev.istarbucks.co.kr.                          182.173.169.41
cdnw.shop.tworld.co.kr                            tdirect.swacc.skcdn.com.                          222.239.240.19
cdnm.shop.tworld.co.kr                            tdirect.swacc.skcdn.com.                          222.239.240.19
jbgse.kr                                          jbgse.kr.                                         211.210.30.142
msg.shinsegae.com                                 msg.shinsegae.com.                                112.171.14.21
image.art1.com                                    art1.wacc.skcdn.com.                              58.228.245.67
meacctdev.istarbucks.co.kr                        meacctdev.istarbucks.co.kr.                       182.173.169.41
ul.wink.co.kr                                     ul.wink.co.kr.                                    1.2.3.4
hpd.music-flo.com                                 music-flo.dlacc.skcdn.com.                        211.110.226.78
cdn.web.img.ssengame.com                          enpgames.dlacc.skcdn.com.                         58.228.245.66
res.seiya.pupugame.kr                             enpgames.dlacc.skcdn.com.                         58.228.245.66
hls.music-flo.com                                 auth-music-flo.dlacc.skcdn.com.                   175.126.177.78
