NXDOMAIN DATA

test.starbucks.co.uk                              testintl.starbucks.com.                           lookup testintl.starbucks.com.: no such host
test.starbucks.com                                test.starbucks.com.                               lookup test.starbucks.com.: no such host


CNAME RECORD DATA

loadglobalassets.starbucks.com                    globalassets.starbucks.com.edgekey.net.           184.30.49.107
globalassets.starbucks.com                        globalassets.starbucks.com.edgekey.net.           184.30.49.107
stageglobalassets.starbucks.com                   globalassets.starbucks.com.edgekey.net.           184.30.49.107
loadglobalsecureui.starbucks.com                  loadglobalsecureui.starbucks.com.                 98.99.248.158
loadwww.starbucks.de                              loadwww.starbucks.de.                             98.99.248.42
green.starbucks.com                               green.starbucks.com.                              107.162.134.102
starbucks.com.br                                  starbucks.com.br.                                 104.100.26.40
app.dev.starbucks.ie                              dev.starbucks.com.edgekey-staging.net.            104.81.205.134
dev.starbucks.ca                                  dev.starbucks.com.edgekey-staging.net.            104.81.205.134
dev.starbucks.co.uk                               dev.starbucks.com.edgekey-staging.net.            104.81.205.134
app.dev.starbucks.ca                              dev.starbucks.com.edgekey-staging.net.            104.81.205.134
app.dev.starbucks.co.uk                           dev.starbucks.com.edgekey-staging.net.            104.81.205.134
dev.starbucks.com.br                              dev.starbucks.com.edgekey-staging.net.            104.81.205.134
app.dev.starbucks.com                             dev.starbucks.com.edgekey-staging.net.            104.81.205.134
app.dev.starbucks.de                              dev.starbucks.com.edgekey-staging.net.            104.81.205.134
dev.starbucks.com                                 dev.starbucks.com.edgekey-staging.net.            104.81.205.134
dev.fr.starbucks.ca                               dev.starbucks.com.edgekey-staging.net.            104.81.205.134
app.dev.starbucks.fr                              dev.starbucks.com.edgekey-staging.net.            104.81.205.134
starbucks.nl                                      starbucks.nl.                                     204.74.99.103
starbucks.ie                                      starbucks.ie.                                     23.79.201.60
test-assets.web.starbucksassets.com               globalassetsmgd.starbucks.com.edgekey-staging.net.104.71.87.119
cert.starbucks.com                                cert.starbucks.com.                               98.99.254.201
loadsecureui.starbucks.com                        loadsecureui.starbucks.com.                       98.99.248.38
loadwww.starbucks.nl                              loadwww.starbucks.nl.                             98.99.248.44
en.starbucks.com.br                               en.starbucks.com.br.                              98.99.252.72
starbucks.co.uk                                   starbucks.co.uk.                                  96.6.72.68
starbucks.de                                      starbucks.de.                                     96.6.72.68
starbucks.fr                                      starbucks.fr.                                     96.6.72.68
starbucksmy.com                                   starbucksmy.com.                                  52.77.139.210
extranet.starbucks.com.br                         extranet.starbucks.com.br.                        200.155.6.70
testassets.starbucks.com                          testassets.starbucks.com.edgesuite.net.           23.15.37.42
cert.starbucks.ie                                 cert.starbucks.com.edgekey-staging.net.           104.81.204.227
cert.starbucks.com.br                             cert.starbucks.com.edgekey-staging.net.           104.81.204.227
cert.starbucks.co.uk                              cert.starbucks.com.edgekey-staging.net.           104.81.204.227
cert.starbucks.fr                                 cert.starbucks.com.edgekey-staging.net.           104.81.204.227
cert.starbucks.ca                                 cert.starbucks.com.edgekey-staging.net.           104.81.204.227
mail.starbucks.com.br                             mail.starbucks.com.br.                            189.125.18.17
loadwww.starbucks.co.uk                           loadwww.starbucks.co.uk.                          98.99.248.45
StageGlobalsecureui.starbucks.com                 StageGlobalsecureui.starbucks.com.                98.99.252.192
