NXDOMAIN DATA

manager.paypal.com                                manager.payflow.edge.paypal.com.                  lookup manager.payflow.edge.paypal.com.: getaddrinfow: This is usually a temporary error during hostname resolution and means that the local server did not receive a response from an authoritative server.
api.stage2d0049.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2md047.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
api.stage2md028.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
www.stage2d0039.stage.paypal.com                  cei3.stage.paypal.com.                            lookup cei3.stage.paypal.com.: no such host
test10.stage.paypal.com                           www.test10.stage.paypal.com.                      lookup www.test10.stage.paypal.com.: no such host
www.stage2std049.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms052.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb032.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2std054.stage.paypal.com                 cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2mb032.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms060.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2ms060.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb041.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2mb041.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb034.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb014.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2p1222.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2p1222.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2mb034.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb030.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2mb030.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2mb044.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms044.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2mb044.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2ms044.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
www.stage2ms051.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
api.stage2ms055.stage.paypal.com                  cei4.stage.paypal.com.                            lookup cei4.stage.paypal.com.: no such host
