NXDOMAIN DATA

de.twitter.com                                    de.twitter.com.                                   lookup de.twitter.com.: no such host
access.twitter.com                                access.twitter.com.                               lookup access.twitter.com.: no such host
twvid.com                                         twvid.com.                                        lookup twvid.com.: no such host
_thirdparty.twitter.com                           _thirdparty.twitter.com.                          lookup _thirdparty.twitter.com.: no such host
e.twitter.com                                     e.twitter.com.                                    lookup e.twitter.com.: no such host
twimg.com                                         twimg.com.                                        lookup twimg.com.: no such host
partnerstream1.twitter.com                        partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host
staging2-partnerstream1.twitter.com               partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host


CNAME RECORD DATA

bloombergtechnology.twitter.com                   s.twitter.com.                                    104.244.42.131
cards.twitter.com                                 s.twitter.com.                                    104.244.42.131
birdseye.twitter.com                              s.twitter.com.                                    104.244.42.131
eclipse2017.twitter.com                           s.twitter.com.                                    104.244.42.131
wnba.twitter.com                                  s.twitter.com.                                    104.244.42.131
sdcc.twitter.com                                  s.twitter.com.                                    104.244.42.131
globalcitizen.twitter.com                         s.twitter.com.                                    104.244.42.131
zacbrown.twitter.com                              s.twitter.com.                                    104.244.42.131
partners-api.twitter.com                          s.twitter.com.                                    104.244.42.131
ms4.twitter.com                                   s.twitter.com.                                    104.244.42.131
cfl.twitter.com                                   s.twitter.com.                                    104.244.42.131
sms.twitter.com                                   s.twitter.com.                                    104.244.42.131
wwe.twitter.com                                   s.twitter.com.                                    104.244.42.131
pbr.twitter.com                                   s.twitter.com.                                    104.244.42.131
2011.twitter.com                                  s.twitter.com.                                    104.244.42.131
polygon.twitter.com                               s.twitter.com.                                    104.244.42.131
bbmas.twitter.com                                 s.twitter.com.                                    104.244.42.131
mll.twitter.com                                   s.twitter.com.                                    104.244.42.131
rockinrio.twitter.com                             s.twitter.com.                                    104.244.42.131
nabc.twitter.com                                  s.twitter.com.                                    104.244.42.131
ema.twitter.com                                   s.twitter.com.                                    104.244.42.131
jtbc.twitter.com                                  s.twitter.com.                                    104.244.42.131
converse.twitter.com                              s.twitter.com.                                    104.244.42.131
cards-staging.twitter.com                         s.twitter.com.                                    104.244.42.131
safety.twitter.com                                s.twitter.com.                                    104.244.42.131
warmup.twitter.com                                s.twitter.com.                                    104.244.42.131
stanford.twitter.com                              s.twitter.com.                                    104.244.42.131
echidna.twitter.com                               s.twitter.com.                                    104.244.42.131
mail.twitter.com                                  s.twitter.com.                                    104.244.42.131
www2.twitter.com                                  www2.twitter.com.                                 199.59.149.198
mx1.twitter.com                                   mx1.twitter.com.                                  199.59.148.144
atla-partnerstream1.twitter.com                   atla-partnerstream1.twitter.com.                  199.16.156.22
api-45-0-0.twitter.com                            api-45-0-0.twitter.com.                           69.195.168.128
api-26-0-0.twitter.com                            api-26-0-0.twitter.com.                           69.195.187.128
api4.twitter.com                                  api4.twitter.com.                                 199.59.149.232
integratedsearch.twitter.com                      integratedsearch.twitter.com.                     199.16.156.11
api-21-0-0.twitter.com                            api-21-0-0.twitter.com.                           69.195.166.128
api-22-0-0.twitter.com                            api-22-0-0.twitter.com.                           69.195.167.128
api-28-0-0.twitter.com                            api-28-0-0.twitter.com.                           69.195.160.128
api.twitter.com                                   api.twitter.com.                                  104.244.42.2
mta72.e.twitter.com                               mta72.e.twitter.com.                              136.147.183.236
mta19.e.twitter.com                               mta19.e.twitter.com.                              136.147.183.184
info.twitter.com                                  info.twitter.com.                                 199.59.148.207
spruce-goose-bg.twitter.com                       spruce-goose-bg.twitter.com.                      199.59.150.102
download.twitter.com                              download.twitter.com.                             199.16.156.18
spruce-goose-ah.twitter.com                       spruce-goose-ah.twitter.com.                      199.59.150.77
mta67.e.twitter.com                               mta67.e.twitter.com.                              136.147.183.231
spruce-goose-bm.twitter.com                       spruce-goose-bm.twitter.com.                      199.59.150.108
