www.teststore.starbucks.com          www.teststore.starbucks.com.cdn.cloudflare.net
ldap.starbucks.com          ldap.gtm.starbucks.com
autodiscover.starbucks.com          autodiscover-iad2.starbucks.com
www.starbucks.com          starbuckssites.starbucks.com.edgekey.net
sim.starbucks.com          s00177ptmjira.trafficmanager.net
trace-api.starbucks.com          s00212apmw2gtwyprod.azure-api.net
retail-training-videos.starbucks.com          retail-training-videos.gtm.starbucks.com
bits.starbucks.com          dra-proxy-prod.azurewebsites.net
desktop.starbucks.com          desktop.gtm.starbucks.com
pegasus.starbucks.com          ecx-prod-app-provisioninggroup.azurewebsites.net
blogs.starbucks.com          sdlgreen.starbucks.com
certltyapps-oid.starbucks.com          bigip-certltyapps-oid-starbucks.oracle.com
origin-www.starbucks.com          www.starbucks.com
sixevents-api.starbucks.com          six-waf-prod.westus2.cloudapp.azure.com
dev.starbucks.com          dev.starbucks.com.edgekey-staging.net
bomgar.starbucks.com          bomgar.trafficmanager.net
sus.starbucks.com          applesus.trafficmanager.net
help.starbucks.com          bomgar.starbucks.com
roastery.starbucks.com          roastery.starbucks.com.c.footprint.net
testhkzh.starbucks.com          testwww.starbucks.com
intl.starbucks.com          cms.starbucks.com
redeemtweetauth.starbucks.com          starbucksredeemauth.securepromotion.com
reviews.starbucks.com          starbucks.ugc.bazaarvoice.com
spectrum.starbucks.com          s00172ppipspecapp00.westus.cloudapp.azure.com
ews.starbucks.com          ews-iad2.starbucks.com
main-id-en.test.starbucks.com          testsdlwww.starbucks.com.edgekey-staging.net
activesync.starbucks.com          activesync.gtm.starbucks.com
sts-vis.starbucks.com          sts-vis.gtm.starbucks.com
jss.starbucks.com          jssprod-starbucks.trafficmanager.net
cdx-prod-api.starbucks.com          s00181cdxtmna.trafficmanager.net
awmag.starbucks.com          airwatch.starbucks.com
d-cpath.starbucks.com          d-cpath.gtm.starbucks.com
main-es-es.test.starbucks.com          testsdlwww.starbucks.com.edgekey-staging.net
ucp.starbucks.com          sbux-production-ucp-prod.apigee.net
crl.starbucks.com          crl.gtm.starbucks.com
groupon.starbucks.com          clb.cashstar.com
ocsp.starbucks.com          ocsp.gtm.starbucks.com
deepbrew-preprod-api.starbucks.com          s00188trfppdeepbrew.trafficmanager.net
ordering.starbucks.com          ordering-prod-a.starbucks.com
testbgbg.starbucks.com          testwww.starbucks.com
hybrid.starbucks.com          hybrid-iad2.starbucks.com
mpi.starbucks.com          mpi.gtm.starbucks.com
email.mg.starbucks.com          mailgun.org
portal.starbucks.com          live-ap-parityapi.pantheonsite.io
trace.starbucks.com          s00212atmw2twsprod.trafficmanager.net
selfservice.starbucks.com          kdreq-a-v9.starbucks.com
test7.openapi.starbucks.com          sbux-integration-oapi.dn.apigee.net
id-cert.starbucks.com          id-cert.gtm.starbucks.com
lp.starbucks.com          swift.postclickmarketing.com
testthth.starbucks.com          testwww.starbucks.com
realm.starbucks.com          realm-iad.starbucks.com
promotions.starbucks.com          starbucks-landing.ent-sessionm.com
mypartnerinfo-ext.starbucks.com          mypartnerinfo-ext.gtm.starbucks.com
sts-vis-dev-cloud1.starbucks.com          sts-vis-dev-cloud1.gtm.starbucks.com
stories.starbucks.com          stories.starbucks.com.cdn.cloudflare.net
archergrc.starbucks.com          archergrc-iad.starbucks.com
sts-vis2.starbucks.com          sts-vis2-iad.starbucks.com
ucpc.starbucks.com          sbux-production-ucp-prod.apigee.net
sts-vis-cert-cloud1.starbucks.com          sts-vis-cert-cloud1.gtm.starbucks.com
mysite-ec3.starbucks.com          partner-hub-test-vs-iad-ec3.starbucks.com
cert-partner-ec3.starbucks.com          partner-hub-cert-vs-iad.starbucks.com
opsexcellence.starbucks.com          opsexcellence-iad.starbucks.com
assets.starbucks.com          assets.starbucks.com.edgesuite.net
prodcdhapps-oid.starbucks.com          bigip-prodcdhapps-oid-starbucks.oracle.com
athome.starbucks.com          br3o6wb.x.incapdns.net
cloudapps.starbucks.com          cloudapps.gtm.starbucks.com
test4mobile.starbucks.com          test4-iad.starbucks.com
connect.starbucks.com          dndykhjlca702.cloudfront.net
webmail.starbucks.com          mail.starbucks.com
test1.openapi.starbucks.com          sbux-oapi-dev-develop.apigee.net
mdm.starbucks.com          ds162.awmdm.com
ideas.starbucks.com          sdlgreen.starbucks.com
www.athome.starbucks.com          br3o6wb.x.incapdns.net
