NXDOMAINS DATA 
spectrum-pd.starbucks.com                                 spectrum-pd.vpc.starbucks.net
certupgpospa2.starbucks.com                                 bigip-certupgpospa2-starbucks.oracle.com
devbi.starbucks.com                                 bigip-devbi-starbucks.oracle.com
certupgpospa1.starbucks.com                                 bigip-certupgpospa1-starbucks.oracle.com
tstcrmapps.starbucks.com                                 tstcrmapps-starbucks.nssb-oracle.com
wfmnaptnpc.starbucks.com                                 s00149tmppcptn.trafficmanager.net
bi-gis-cert.starbucks.com                                 bi-gis.starbucks.com
prodcrmapps.starbucks.com                                 prodcrmapps-starbucks.nssb-oracle.com
ct.spc.starbucks.com                                 sbux-production-ucp-master.apigee.net
trace-psdev.starbucks.com                                 s00174atww2twsps.trafficmanager.net
lstech-asp-sd.starbucks.com                                 lstech-asp-sd.vpc.starbucks.net
sco-asp-sd.starbucks.com                                 sco-asp-sd.vpc.starbucks.net
lstech-asp-pd.starbucks.com                                 lstech-asp-pd.vpc.starbucks.net
CNAME RECORDS DATA 
stage.parity.starbucks.com                                 ap-parity-stage-01.apigee.net                                 IP52.88.18.112,35.161.115.59,34.208.218.216
wfmnaptnps.starbucks.com                                 s00150tmppsptn.trafficmanager.net                                 IP52.176.6.37
testedqapps.starbucks.com                                 bigip-testedqapps-starbucks.oracle.com                                 IP144.23.238.151
trace-dev.starbucks.com                                 s00174atmw2twapd.trafficmanager.net                                 IP40.112.216.189
certcrmpospa2.starbucks.com                                 certcrmpospa2-starbucks.nssb-oracle.com                                 IP144.23.238.206
mdm.starbucks.com                                 ds162.awmdm.com                                 IP192.30.68.141
api.martech.starbucks.com                                 sbux-production-eapi-prod.apigee.net                                 IP34.216.23.40
bomgar.starbucks.com                                 bomgar.trafficmanager.net                                 IP98.99.248.202
digitalcart-cert.starbucks.com                                 s00492nfdrdcs.azurefd.net                                 IP13.107.246.10
ct01.gifts.starbucks.com                                 s00293cpipgift01.westus.cloudapp.azure.com                                 IP104.42.108.62
prodltycrmapps.starbucks.com                                 prodltycrmapps-starbucks.nssb-oracle.com                                 IP144.23.238.179
cdx-pd.starbucks.com                                 sbux-integration-cdx-stable.apigee.net                                 IP34.216.23.159
appcafe.starbucks.com                                 appcafe.gtm.starbucks.com                                 IP98.99.254.134
stage.openapi.starbucks.com                                 sbux-integration-oapi-stage-dial.apigee.net                                 IP34.216.23.38
certcrmpospa2-dr.starbucks.com                                 bigip-certcrmpospa2-dr-starbucks.oracle.com                                 IP148.87.129.110
